 .github/workflows/commitLogOnPush.yml , 93f679216a566f91a872d3c0d9562fa965ea3732 , 2022-06-23 08:33:58 -0400 , MartinTheDude , GitHub , adding back matlab 
 .idea/inspectionProfiles/profiles_settings.xml , 27dbc1b6044cb50981bd42ad9e9e69a118bb3527 , 2022-06-06 19:17:14 -0400 , MartinTheDude , MartinTheDude , testing 
 .idea/modules.xml , 27dbc1b6044cb50981bd42ad9e9e69a118bb3527 , 2022-06-06 19:17:14 -0400 , MartinTheDude , MartinTheDude , testing 
 .idea/testingMagicDraw.iml , 27dbc1b6044cb50981bd42ad9e9e69a118bb3527 , 2022-06-06 19:17:14 -0400 , MartinTheDude , MartinTheDude , testing 
 .idea/vcs.xml , 27dbc1b6044cb50981bd42ad9e9e69a118bb3527 , 2022-06-06 19:17:14 -0400 , MartinTheDude , MartinTheDude , testing 
 .idea/workspace.xml , 27dbc1b6044cb50981bd42ad9e9e69a118bb3527 , 2022-06-06 19:17:14 -0400 , MartinTheDude , MartinTheDude , testing 
 .metadata/.lock , f2076b497d584588eb34a07dd0bafa169a3c3c92 , 2022-06-20 15:11:21 -0400 , MartinTheDude , MartinTheDude , Java 
 .metadata/.log , f2076b497d584588eb34a07dd0bafa169a3c3c92 , 2022-06-20 15:11:21 -0400 , MartinTheDude , MartinTheDude , Java 
 .metadata/.plugins/org.eclipse.core.resources/.history/19/e0f4cf2cd1f0001c137af1d00d5fefde , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.resources/.history/5b/1056501cd5f0001c137af1d00d5fefde , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.resources/.history/94/a07b3cb8d3f0001c137af1d00d5fefde , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.resources/.history/dc/50677036d1f0001c137af1d00d5fefde , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.resources/.history/e3/106ce11fd5f0001c137af1d00d5fefde , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.resources/.history/ee/8015e64fd2f0001c137af1d00d5fefde , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.resources/.history/fc/d086ba2ed1f0001c137af1d00d5fefde , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.resources/.projects/.org.eclipse.egit.core.cmp/.location , f2076b497d584588eb34a07dd0bafa169a3c3c92 , 2022-06-20 15:11:21 -0400 , MartinTheDude , MartinTheDude , Java 
 .metadata/.plugins/org.eclipse.core.resources/.projects/.org.eclipse.jdt.core.external.folders/.location , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.resources/.projects/noMagicAPI/.indexes/7/af/history.index , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
